Dominant_Topic,Important_Keywords,Num_Documents,Perc_Documents
0.0,"art, commun, youth, artist, program, work, provid, develop, perform, peopl",129,0.56087
1.0,"commun, art, nation, cultur, indigen, danc, work, artist, first, workshop",17,0.07391
2.0,"commun, art, artist, program, creativ, studio, children, provid, member, particip",15,0.06522
3.0,"art, commun, space, stori, cultur, creativ, share, peopl, togeth, creat",16,0.06957
4.0,"aborigin, art, urban, youth, commun, artist, program, focu, cultur, live",7,0.03043
5.0,"art, program, commun, school, artist, disabl, organ, youth, engag, public",31,0.13478
6.0,"commun, art, creativ, women, workshop, write, program, experi, creat, provid",15,0.06522
